Invoice_ID;InvoiceNo;InvoiceDate;Customer_ID;Payment_Method;Operation
90;567144;9/16/2011;44;2;Sale
91;574677;11/4/2011;44;3;Sale
92;576575;11/15/2011;44;1;Sale
93;C579912;11/30/2011;44;4;Return
94;559321;7/7/2011;45;4;Sale
95;562448;8/4/2011;45;1;Sale
96;C551947;4/27/2011;45;1;Return
97;544999;2/25/2011;46;2;Sale
98;565669;9/5/2011;46;2;Sale
99;569768;10/5/2011;46;1;Sale
100;537059;12/5/2010;47;2;Sale
101;545043;2/25/2011;47;3;Sale
102;552172;5/6/2011;47;4;Sale
103;553538;5/17/2011;47;2;Sale
104;C548731;3/30/2011;47;4;Return
105;555872;6/7/2011;48;3;Sale
106;559308;7/6/2011;48;4;Sale
107;569319;10/2/2011;49;2;Sale
108;580213;12/1/2011;49;1;Sale
109;539436;12/17/2010;50;1;Sale
110;544776;2/23/2011;50;1;Sale
111;563079;8/11/2011;50;1;Sale
112;566816;9/14/2011;50;1;Sale
113;C539035;12/14/2010;50;2;Return
114;553978;5/19/2011;51;1;Sale
115;555945;6/7/2011;51;1;Sale
116;559132;7/6/2011;52;1;Sale
117;566968;9/15/2011;52;4;Sale
118;570231;10/7/2011;52;4;Sale
119;581434;12/8/2011;52;3;Sale
120;542098;1/25/2011;53;2;Sale
121;545000;2/25/2011;53;1;Sale
122;566921;9/15/2011;53;4;Sale
123;556050;6/8/2011;54;2;Sale
124;559110;7/5/2011;54;4;Sale
125;564718;8/26/2011;54;3;Sale
126;566124;9/8/2011;54;4;Sale
127;572740;10/25/2011;54;4;Sale
128;577092;11/17/2011;54;3;Sale
129;566398;9/11/2011;55;2;Sale
130;C572554;10/23/2011;55;1;Return
131;539290;12/16/2010;56;4;Sale
132;574906;11/7/2011;56;3;Sale
133;559942;7/13/2011;57;3;Sale
134;569848;10/6/2011;57;4;Sale
135;545709;3/6/2011;58;2;Sale
136;551962;5/5/2011;58;2;Sale
137;561647;7/28/2011;58;4;Sale
138;C543607;2/1/2011;58;3;Return
139;579539;11/29/2011;59;4;Sale
140;561330;7/26/2011;60;1;Sale
141;576599;11/15/2011;60;1;Sale
142;560726;7/20/2011;61;2;Sale
143;564640;8/25/2011;61;2;Sale
144;545181;2/28/2011;62;2;Sale
145;557302;6/19/2011;62;4;Sale
146;542110;1/25/2011;63;4;Sale
147;542678;1/31/2011;63;1;Sale
148;561063;7/24/2011;63;4;Sale
149;537680;12/8/2010;64;4;Sale
150;560451;7/18/2011;64;1;Sale
151;578666;11/24/2011;64;1;Sale
152;537381;12/6/2010;65;2;Sale
153;540825;1/11/2011;65;1;Sale
154;554920;5/26/2011;65;3;Sale
155;554975;5/27/2011;65;1;Sale
156;569732;10/5/2011;65;3;Sale
157;574511;11/4/2011;65;1;Sale
158;574880;11/7/2011;65;3;Sale
159;C540384;12/23/2010;66;1;Return
160;550504;4/18/2011;67;2;Sale
161;562721;8/8/2011;67;1;Sale
162;564480;8/25/2011;67;3;Sale
163;569016;9/29/2011;67;4;Sale
164;541285;1/17/2011;69;1;Sale
165;553168;5/13/2011;69;3;Sale
166;566618;9/13/2011;69;2;Sale
167;569099;9/30/2011;69;2;Sale
168;576214;11/14/2011;69;1;Sale
169;548450;3/30/2011;70;3;Sale
170;552645;5/10/2011;70;1;Sale
171;555111;5/31/2011;70;3;Sale
172;569322;10/2/2011;70;3;Sale
173;537246;12/6/2010;71;2;Sale
174;565463;9/4/2011;71;1;Sale
175;577540;11/20/2011;71;4;Sale
176;578116;11/22/2011;71;4;Sale
177;C554793;5/24/2011;71;1;Return
178;538753;12/14/2010;72;3;Sale
179;551547;4/28/2011;72;3;Sale
180;555005;5/27/2011;72;4;Sale
181;555414;6/2/2011;73;3;Sale
182;538910;12/15/2010;74;3;Sale
183;562422;8/4/2011;74;1;Sale
184;C542734;1/27/2011;74;1;Return
185;563708;8/18/2011;75;1;Sale
186;C574515;11/2/2011;75;3;Return
187;575888;11/11/2011;76;3;Sale
188;578019;11/22/2011;76;4;Sale
189;581168;12/7/2011;76;4;Sale
190;562148;8/2/2011;77;1;Sale
191;571306;10/16/2011;77;4;Sale
192;561969;7/31/2011;78;1;Sale
193;573493;10/30/2011;78;3;Sale
194;548640;4/1/2011;79;2;Sale
195;575989;11/13/2011;79;4;Sale
196;543454;2/8/2011;80;3;Sale
197;556241;6/9/2011;80;3;Sale
198;577735;11/21/2011;81;3;Sale
199;543177;2/4/2011;82;4;Sale
200;544586;2/21/2011;83;2;Sale
201;570479;10/10/2011;83;3;Sale
202;571278;10/14/2011;83;1;Sale
203;547094;3/20/2011;84;3;Sale
204;560413;7/18/2011;84;1;Sale
205;569409;10/3/2011;84;1;Sale
206;C571860;10/14/2011;84;4;Return
207;555207;5/31/2011;85;2;Sale
208;573166;10/27/2011;85;2;Sale
209;539217;12/16/2010;86;3;Sale
210;550296;4/15/2011;86;3;Sale
211;570807;10/12/2011;86;4;Sale
212;549907;4/12/2011;87;1;Sale
213;562276;8/3/2011;87;2;Sale
214;566199;9/9/2011;87;4;Sale
215;566258;9/9/2011;87;4;Sale
216;539485;12/19/2010;88;1;Sale
217;540644;1/10/2011;89;2;Sale
218;541241;1/16/2011;89;3;Sale
219;550264;4/15/2011;89;4;Sale
220;545447;3/2/2011;90;4;Sale
221;546254;3/10/2011;90;4;Sale
222;571158;10/13/2011;90;1;Sale
223;574715;11/6/2011;90;4;Sale
224;577334;11/18/2011;90;1;Sale
225;C539274;12/14/2010;90;1;Return
226;C540850;1/6/2011;90;3;Return
227;C547232;3/17/2011;90;1;Return
228;560207;7/14/2011;91;3;Sale
229;577740;11/21/2011;91;2;Sale
230;556116;6/8/2011;92;3;Sale
231;565611;9/5/2011;92;1;Sale
232;573372;10/30/2011;94;1;Sale
233;C559739;7/7/2011;94;2;Return
234;561051;7/22/2011;95;1;Sale
235;578824;11/25/2011;95;2;Sale
236;541273;1/17/2011;97;2;Sale
237;560104;7/14/2011;97;4;Sale
238;561147;7/25/2011;97;3;Sale
239;567173;9/16/2011;97;3;Sale
240;555648;6/6/2011;98;2;Sale
241;C547856;3/21/2011;98;2;Return
242;C538833;12/14/2010;99;2;Return
243;550906;4/20/2011;100;2;Sale
244;567979;9/22/2011;100;1;Sale
245;C559500;7/4/2011;101;4;Return
246;548739;4/3/2011;102;1;Sale
247;558734;7/1/2011;102;1;Sale
248;C538670;12/9/2010;102;4;Return
249;C539575;12/16/2010;102;4;Return
250;548655;4/1/2011;103;4;Sale
251;556509;6/12/2011;103;4;Sale
252;572908;10/26/2011;105;4;Sale
253;572911;10/26/2011;105;1;Sale
254;C579933;11/30/2011;105;2;Return
255;562211;8/3/2011;106;2;Sale
256;572861;10/26/2011;106;2;Sale
257;554837;5/26/2011;107;2;Sale
258;540465;1/7/2011;109;3;Sale
259;536759;12/2/2010;110;1;Sale
260;547788;3/25/2011;110;4;Sale
261;557320;6/19/2011;110;1;Sale
262;563438;8/15/2011;110;3;Sale
263;569003;9/29/2011;110;3;Sale
264;C539031;12/14/2010;110;4;Return
265;546528;3/14/2011;111;3;Sale
266;C552455;5/4/2011;111;4;Return
267;554794;5/25/2011;112;3;Sale
268;564225;8/23/2011;112;2;Sale
269;568718;9/28/2011;113;2;Sale
270;574325;11/3/2011;113;4;Sale
271;574881;11/7/2011;114;1;Sale
272;580026;11/30/2011;114;1;Sale
273;555573;6/5/2011;115;3;Sale
274;563111;8/11/2011;115;3;Sale
275;564231;8/23/2011;115;3;Sale
276;C536828;12/9/2011;117;4;Return
277;564356;8/24/2011;118;4;Sale
278;577332;11/18/2011;118;4;Sale
279;C563232;8/9/2011;118;4;Return
280;548711;4/1/2011;119;4;Sale
281;580987;12/6/2011;119;2;Sale
282;568551;9/27/2011;120;3;Sale
283;571883;10/19/2011;120;1;Sale
284;538860;12/14/2010;122;3;Sale
285;539418;12/17/2010;122;1;Sale
286;552824;5/11/2011;122;4;Sale
287;555004;5/27/2011;123;2;Sale
288;555363;6/2/2011;123;1;Sale
289;559522;7/8/2011;123;2;Sale
290;577406;11/18/2011;123;4;Sale
291;551534;4/28/2011;124;2;Sale
292;561032;7/22/2011;124;2;Sale
293;568145;9/23/2011;124;2;Sale
294;568245;9/25/2011;124;4;Sale
295;579300;11/28/2011;124;1;Sale
296;579518;11/29/2011;124;4;Sale
297;548336;3/30/2011;125;1;Sale
298;564093;8/22/2011;125;3;Sale
299;550723;4/19/2011;126;3;Sale
300;553404;5/16/2011;126;4;Sale
301;558837;7/3/2011;126;2;Sale
302;567375;9/19/2011;127;1;Sale
303;C552049;5/3/2011;128;3;Return
304;565756;9/6/2011;129;2;Sale
305;570415;10/10/2011;129;2;Sale
306;572105;10/20/2011;129;1;Sale
307;543788;2/11/2011;130;2;Sale
308;540469;1/7/2011;131;2;Sale
309;566328;9/11/2011;131;3;Sale
310;544317;2/17/2011;132;2;Sale
311;546991;3/18/2011;132;3;Sale
312;557279;6/17/2011;132;1;Sale
313;574272;11/3/2011;132;4;Sale
314;545842;3/7/2011;133;1;Sale
315;548624;4/1/2011;133;4;Sale
316;552883;5/11/2011;133;3;Sale
317;580286;12/2/2011;133;4;Sale
318;541087;1/13/2011;134;2;Sale
319;548708;4/1/2011;134;1;Sale
320;566320;9/11/2011;134;2;Sale
321;568919;9/29/2011;135;1;Sale
322;580975;12/6/2011;136;4;Sale
323;547420;3/22/2011;137;4;Sale
324;552491;5/9/2011;137;1;Sale
325;553164;5/13/2011;137;4;Sale
326;562776;8/8/2011;137;1;Sale
327;574710;11/6/2011;137;2;Sale
328;574756;11/6/2011;137;4;Sale
329;C560556;7/14/2011;137;4;Return
330;538076;12/9/2010;138;3;Sale
331;542790;2/1/2011;138;3;Sale
332;548955;4/4/2011;138;3;Sale
333;558906;7/4/2011;138;2;Sale
334;568199;9/25/2011;138;4;Sale
335;566620;9/13/2011;139;2;Sale
336;542377;1/27/2011;140;2;Sale
337;568132;9/23/2011;140;2;Sale
338;571197;10/13/2011;140;2;Sale
339;C555262;5/26/2011;140;1;Return
340;555798;6/6/2011;141;1;Sale
341;557755;6/21/2011;141;3;Sale
342;581181;12/7/2011;141;4;Sale
343;547726;3/24/2011;142;3;Sale
344;541038;1/13/2011;143;4;Sale
345;543457;2/8/2011;144;1;Sale
346;552320;5/8/2011;144;4;Sale
347;553930;5/19/2011;144;1;Sale
348;566669;9/13/2011;144;4;Sale
349;575766;11/10/2011;144;1;Sale
350;550786;4/20/2011;145;2;Sale
351;557529;6/20/2011;145;3;Sale
352;552951;5/12/2011;146;4;Sale
353;570865;10/12/2011;146;2;Sale
354;C540942;1/6/2011;146;1;Return
355;552677;5/10/2011;147;4;Sale
356;545036;2/25/2011;148;1;Sale
357;550777;4/20/2011;148;3;Sale
358;568054;9/22/2011;148;3;Sale
359;578064;11/22/2011;148;3;Sale
360;543641;2/10/2011;149;4;Sale
361;554355;5/23/2011;149;4;Sale
362;571257;10/14/2011;150;4;Sale
363;C554867;5/24/2011;150;4;Return
364;541104;1/13/2011;151;4;Sale
365;574368;11/3/2011;151;4;Sale
366;553658;5/17/2011;152;2;Sale
367;554980;5/27/2011;152;1;Sale
368;573633;10/31/2011;152;1;Sale
369;557785;6/22/2011;153;4;Sale
370;C548465;3/27/2011;153;2;Return
371;C549019;3/31/2011;153;1;Return
372;544076;2/15/2011;154;1;Sale
373;568992;9/29/2011;154;2;Sale
374;573511;10/31/2011;154;2;Sale
375;C554197;5/18/2011;154;3;Return
376;538817;12/14/2010;155;3;Sale
377;545980;3/8/2011;155;4;Sale
378;548547;3/31/2011;155;4;Sale
379;557039;6/16/2011;156;2;Sale
380;563110;8/11/2011;156;3;Sale
381;C544057;2/11/2011;156;3;Return
382;549937;4/12/2011;157;4;Sale
383;551836;5/4/2011;158;4;Sale
384;578187;11/23/2011;158;1;Sale
385;580383;12/2/2011;158;4;Sale
386;581130;12/7/2011;158;1;Sale
387;553165;5/13/2011;159;1;Sale
388;568179;9/25/2011;159;3;Sale
389;578854;11/25/2011;159;4;Sale
390;553919;5/19/2011;160;2;Sale
391;563194;8/12/2011;160;4;Sale
392;580053;12/1/2011;160;3;Sale
393;536387;12/1/2010;161;2;Sale
394;542411;1/27/2011;161;3;Sale
395;549322;4/8/2011;161;4;Sale
396;578353;11/23/2011;161;2;Sale
397;569869;10/6/2011;162;2;Sale
398;571940;10/19/2011;162;1;Sale
399;579531;11/29/2011;162;1;Sale
400;548670;4/1/2011;163;2;Sale
401;563099;8/11/2011;163;2;Sale
402;579537;11/29/2011;163;2;Sale
403;559791;7/11/2011;164;4;Sale
404;567943;9/22/2011;164;2;Sale
405;547937;3/28/2011;165;2;Sale
406;C553023;5/9/2011;165;2;Return
407;545916;3/7/2011;166;2;Sale
408;550348;4/17/2011;166;3;Sale
409;566244;9/9/2011;166;4;Sale
410;571192;10/13/2011;166;4;Sale
411;C564218;8/18/2011;166;2;Return
412;553749;5/18/2011;167;4;Sale
413;576876;11/16/2011;167;1;Sale
414;C536853;12/9/2011;167;4;Return
415;566627;9/13/2011;168;2;Sale
416;C567712;9/19/2011;168;2;Return
417;576224;11/14/2011;169;4;Sale
418;566198;9/9/2011;170;1;Sale
419;567869;9/22/2011;170;1;Sale
420;539477;12/19/2010;172;1;Sale
421;543523;2/8/2011;172;2;Sale
422;550974;4/21/2011;172;3;Sale
423;578074;11/22/2011;173;3;Sale
424;561002;7/21/2011;174;1;Sale
425;561910;7/31/2011;174;2;Sale
426;564872;8/30/2011;174;3;Sale
427;539214;12/16/2010;175;1;Sale
428;561468;7/26/2011;175;3;Sale
429;574085;11/2/2011;175;2;Sale
430;575520;11/9/2011;175;1;Sale
431;577700;11/20/2011;175;1;Sale
432;549911;4/12/2011;176;3;Sale
433;C577799;11/18/2011;176;2;Return
434;556455;6/10/2011;177;1;Sale
435;554922;5/26/2011;178;4;Sale
436;544835;2/23/2011;179;2;Sale
437;565440;9/2/2011;179;1;Sale
438;546633;3/14/2011;180;2;Sale
439;562529;8/4/2011;180;2;Sale
440;563942;8/21/2011;180;4;Sale
441;564167;8/23/2011;180;2;Sale
442;551842;5/4/2011;181;1;Sale
443;564144;8/22/2011;181;3;Sale
444;575131;11/8/2011;181;3;Sale
445;544603;2/21/2011;182;4;Sale
446;552257;5/6/2011;182;1;Sale
447;567545;9/20/2011;183;2;Sale
448;C552700;5/5/2011;183;1;Return
449;C556634;6/7/2011;183;1;Return
450;550503;4/18/2011;184;1;Sale
451;560364;7/17/2011;184;2;Sale
452;560875;7/21/2011;184;4;Sale
453;C543050;1/31/2011;184;1;Return
454;546132;3/9/2011;185;3;Sale
455;577820;11/21/2011;185;1;Sale
456;C557521;6/16/2011;185;1;Return
457;553387;5/16/2011;186;1;Sale
458;567324;9/19/2011;186;2;Sale
459;575830;11/10/2011;186;4;Sale
460;551888;5/4/2011;187;4;Sale
461;542434;1/28/2011;188;4;Sale
462;546105;3/9/2011;188;3;Sale
463;581496;12/8/2011;188;4;Sale
464;542597;1/28/2011;189;1;Sale
465;543934;2/14/2011;189;4;Sale
466;574047;11/2/2011;189;2;Sale
467;541552;1/19/2011;190;2;Sale
468;544441;2/18/2011;191;4;Sale
469;567890;9/22/2011;191;3;Sale
470;580639;12/5/2011;191;1;Sale
471;569910;10/6/2011;193;2;Sale
472;549287;4/7/2011;194;2;Sale
473;560991;7/21/2011;194;2;Sale
474;544193;2/16/2011;195;4;Sale
475;571629;10/17/2011;195;1;Sale
476;C567357;9/15/2011;195;1;Return
477;559469;7/7/2011;196;4;Sale
478;C542644;1/26/2011;196;2;Return
479;536581;12/1/2010;197;4;Sale
480;553713;5/18/2011;197;1;Sale
481;562937;8/10/2011;198;1;Sale
482;574484;11/4/2011;198;2;Sale
483;576791;11/16/2011;198;3;Sale
484;539334;12/17/2010;199;3;Sale
485;560293;7/17/2011;199;2;Sale
486;577145;11/17/2011;199;4;Sale
487;542989;2/2/2011;200;1;Sale
488;555479;6/2/2011;200;2;Sale
489;561864;7/29/2011;201;2;Sale
490;577544;11/20/2011;201;3;Sale
491;C547198;3/17/2011;201;2;Return
492;545647;3/4/2011;202;2;Sale
493;C542138;1/21/2011;202;1;Return
494;C558313;6/23/2011;202;1;Return
495;560251;7/15/2011;205;3;Sale
496;537298;12/6/2010;206;4;Sale
497;543591;2/10/2011;206;1;Sale
498;577539;11/20/2011;206;3;Sale
499;559063;7/5/2011;207;2;Sale
500;579986;11/30/2011;207;4;Sale
501;543815;2/13/2011;208;3;Sale
502;551143;4/26/2011;208;1;Sale
503;561097;7/24/2011;208;3;Sale
504;575968;11/11/2011;208;1;Sale
505;576689;11/16/2011;208;2;Sale
506;567637;9/21/2011;209;1;Sale
507;580068;12/1/2011;209;3;Sale
508;566818;9/14/2011;210;2;Sale
509;579276;11/28/2011;210;4;Sale
510;539300;12/16/2010;211;3;Sale
511;541226;1/14/2011;211;1;Sale
512;C552031;5/1/2011;211;3;Return
513;576879;11/16/2011;212;4;Sale
514;577118;11/17/2011;212;1;Sale
515;539099;12/16/2010;213;1;Sale
516;543378;2/7/2011;213;1;Sale
517;C569902;9/30/2011;213;1;Return
518;559706;7/11/2011;214;1;Sale
519;560695;7/19/2011;214;2;Sale
520;563362;8/15/2011;215;2;Sale
521;577598;11/20/2011;216;2;Sale
522;543187;2/4/2011;218;3;Sale
523;558053;6/23/2011;218;1;Sale
524;580022;11/30/2011;218;1;Sale
525;C551602;4/26/2011;218;4;Return
526;549949;4/13/2011;219;2;Sale
527;553316;5/15/2011;219;1;Sale
528;554365;5/23/2011;219;4;Sale
529;567899;9/22/2011;219;4;Sale
530;540639;1/10/2011;220;4;Sale
531;562140;8/2/2011;221;1;Sale
532;537694;12/8/2010;222;4;Sale
533;579507;11/29/2011;222;3;Sale
534;C542799;1/27/2011;222;4;Return
535;C574019;10/27/2011;222;1;Return
536;573326;10/28/2011;223;3;Sale
537;573578;10/31/2011;223;4;Sale
538;573878;11/1/2011;223;4;Sale
539;574559;11/4/2011;223;4;Sale
540;576774;11/16/2011;223;1;Sale
541;C536825;12/9/2011;223;4;Return
542;C577817;11/18/2011;223;3;Return
543;560261;7/15/2011;224;2;Sale
544;563840;8/18/2011;224;3;Sale
545;572480;10/24/2011;224;2;Sale
546;573501;10/30/2011;224;4;Sale
547;C543775;2/10/2011;224;3;Return
548;537862;12/8/2010;225;1;Sale
549;574582;11/4/2011;225;3;Sale
550;578366;11/23/2011;225;1;Sale
551;C539438;12/15/2010;225;2;Return
552;576091;11/13/2011;226;3;Sale
553;577512;11/20/2011;226;1;Sale
554;545661;3/4/2011;227;4;Sale
555;545429;3/2/2011;228;2;Sale
556;547350;3/21/2011;228;3;Sale
557;560728;7/20/2011;230;1;Sale
558;544687;2/22/2011;231;2;Sale
559;547510;3/23/2011;231;4;Sale
560;556139;6/8/2011;231;4;Sale
561;570216;10/7/2011;231;1;Sale
562;553393;5/16/2011;232;3;Sale
563;570984;10/12/2011;232;3;Sale
564;575914;11/11/2011;232;4;Sale
565;567297;9/18/2011;234;1;Sale
566;C554300;5/19/2011;234;3;Return
567;538513;12/12/2010;235;1;Sale
568;544351;2/17/2011;235;2;Sale
569;540122;1/5/2011;236;4;Sale
570;548359;3/30/2011;236;4;Sale
571;556307;6/9/2011;236;1;Sale
572;565664;9/5/2011;236;1;Sale
573;569145;9/30/2011;236;3;Sale
574;578270;11/23/2011;236;4;Sale
575;540113;1/4/2011;237;4;Sale
576;545853;3/7/2011;237;4;Sale
577;546104;3/9/2011;237;4;Sale
578;C538713;12/10/2010;237;2;Return
579;557972;6/23/2011;238;2;Sale
580;538558;12/13/2010;239;4;Sale
581;555644;6/5/2011;239;1;Sale
582;571942;10/19/2011;239;4;Sale
583;579629;11/30/2011;240;3;Sale
584;543262;2/4/2011;241;1;Sale
585;C552706;5/5/2011;241;3;Return
586;565426;9/2/2011;242;1;Sale
587;570665;10/11/2011;242;3;Sale
588;570843;10/12/2011;242;2;Sale
589;573510;10/31/2011;242;3;Sale
590;559707;7/11/2011;243;2;Sale
591;563062;8/11/2011;243;4;Sale
592;580718;12/5/2011;243;2;Sale
593;544636;2/21/2011;244;3;Sale
594;561967;7/31/2011;244;2;Sale
595;570113;10/7/2011;244;2;Sale
596;539304;12/16/2010;245;2;Sale
597;560552;7/19/2011;245;3;Sale
598;564018;8/21/2011;245;4;Sale
599;578791;11/25/2011;245;1;Sale
600;581021;12/6/2011;245;1;Sale
601;C539943;12/20/2010;245;1;Return
602;564635;8/25/2011;247;3;Sale
603;573399;10/30/2011;247;3;Sale
604;575128;11/8/2011;247;1;Sale
605;551896;5/4/2011;248;3;Sale
606;580548;12/4/2011;248;2;Sale
607;C574894;11/4/2011;248;1;Return
608;542219;1/26/2011;249;4;Sale
609;C550668;4/17/2011;249;2;Return
610;549944;4/13/2011;250;4;Sale
611;551847;5/4/2011;250;3;Sale
612;580093;12/1/2011;250;4;Sale
613;549553;4/8/2011;251;1;Sale
614;576888;11/16/2011;251;4;Sale
615;543332;2/7/2011;252;4;Sale
616;574241;11/3/2011;252;2;Sale
617;580145;12/1/2011;252;4;Sale
618;C556966;6/13/2011;252;4;Return
619;542934;2/2/2011;253;4;Sale
620;543169;2/3/2011;253;3;Sale
621;556316;6/9/2011;253;3;Sale
622;545445;3/2/2011;254;1;Sale
623;570030;10/6/2011;254;4;Sale
624;538183;12/10/2010;255;3;Sale
625;544447;2/18/2011;255;4;Sale
626;544469;2/20/2011;255;2;Sale
627;555526;6/3/2011;255;1;Sale
628;567296;9/18/2011;255;3;Sale
629;537852;12/8/2010;256;1;Sale
630;568660;9/27/2011;256;2;Sale
631;570592;10/10/2011;256;3;Sale
632;540352;1/6/2011;257;1;Sale
633;572313;10/21/2011;257;3;Sale
634;545999;3/8/2011;258;4;Sale
635;548641;4/1/2011;258;2;Sale
636;563616;8/17/2011;258;2;Sale
637;576638;11/15/2011;259;3;Sale
638;545288;3/1/2011;260;2;Sale
639;554039;5/20/2011;261;3;Sale
640;559062;7/5/2011;261;2;Sale
641;574476;11/4/2011;261;1;Sale
642;578117;11/22/2011;261;3;Sale
643;557739;6/21/2011;262;1;Sale
644;558569;6/30/2011;263;4;Sale
645;563847;8/19/2011;264;1;Sale
646;574315;11/3/2011;264;2;Sale
647;578035;11/22/2011;264;1;Sale
648;554756;5/25/2011;265;2;Sale
649;C562884;8/5/2011;265;1;Return
650;539074;12/15/2010;266;4;Sale
651;550514;4/18/2011;267;3;Sale
652;567139;9/16/2011;267;2;Sale
653;C560910;7/19/2011;267;1;Return
654;538535;12/13/2010;268;4;Sale
655;542621;1/30/2011;269;3;Sale
656;557113;6/16/2011;269;3;Sale
657;560268;7/17/2011;269;3;Sale
658;579920;11/30/2011;269;1;Sale
659;539308;12/16/2010;270;3;Sale
660;563348;8/14/2011;270;3;Sale
661;577297;11/18/2011;270;4;Sale
662;C546211;3/7/2011;270;4;Return
663;C551509;4/20/2011;270;3;Return
664;540832;1/11/2011;271;3;Sale
665;548610;3/31/2011;271;3;Sale
666;569007;9/29/2011;271;1;Sale
667;572830;10/25/2011;271;4;Sale
668;C537893;12/6/2010;271;4;Return
669;C568714;9/27/2011;271;1;Return
670;C539104;12/14/2010;272;4;Return
671;551056;4/26/2011;273;2;Sale
672;571474;10/17/2011;273;3;Sale
673;573593;10/31/2011;273;3;Sale
674;580610;12/4/2011;273;3;Sale
675;566297;9/11/2011;274;2;Sale
676;545868;3/7/2011;275;4;Sale
677;551688;5/3/2011;275;3;Sale
678;C559079;6/30/2011;275;2;Return
679;572392;10/23/2011;276;1;Sale
680;578316;11/23/2011;276;3;Sale
681;580096;12/1/2011;277;3;Sale
682;C552546;5/5/2011;277;2;Return
683;566864;9/14/2011;279;4;Sale
684;567341;9/19/2011;280;1;Sale
685;579089;11/27/2011;280;3;Sale
686;539246;12/16/2010;281;1;Sale
687;557128;6/16/2011;281;1;Sale
688;558528;6/29/2011;281;3;Sale
689;580051;12/1/2011;281;1;Sale
690;554065;5/20/2011;282;4;Sale
691;570185;10/7/2011;283;2;Sale
692;573279;10/28/2011;283;3;Sale
693;C561464;7/21/2011;283;3;Return
694;543625;2/10/2011;286;4;Sale
695;547730;3/24/2011;286;2;Sale
